"","Location","Year","Month","average_WindGustSpeed"
"442","BadgerysCreek",2012,"August",40.9360491724144
"443","BadgerysCreek",2012,"February",30.2068965517241
"444","BadgerysCreek",2012,"January",34.0322580645161
"445","BadgerysCreek",2012,"July",30
"446","BadgerysCreek",2012,"June",25.6
"447","BadgerysCreek",2012,"March",32.2903225806452
"448","BadgerysCreek",2012,"May",25.9354838709677
"449","BadgerysCreek",2012,"November",33.0666666666667
"450","BadgerysCreek",2012,"October",37.1290322580645
"451","BadgerysCreek",2012,"September",38.5666666666667
"452","BadgerysCreek",2013,"April",26.5
"453","BadgerysCreek",2013,"August",37.8709677419355
"454","BadgerysCreek",2013,"December",35.3870967741936
"455","BadgerysCreek",2013,"January",35
"456","BadgerysCreek",2013,"July",25.9677419354839
"457","BadgerysCreek",2013,"June",26.9666666666667
"458","BadgerysCreek",2013,"March",31.4193548387097
"459","BadgerysCreek",2013,"May",26
"460","BadgerysCreek",2013,"November",36.9666666666667
"461","BadgerysCreek",2013,"October",42.5483870967742
"462","BadgerysCreek",2013,"September",38.0666666666667
"463","BadgerysCreek",2014,"April",26.2
"464","BadgerysCreek",2014,"August",31.6774193548387
"465","BadgerysCreek",2014,"December",39.7096774193548
"466","BadgerysCreek",2014,"February",31.25
"467","BadgerysCreek",2014,"January",32.7096774193548
"468","BadgerysCreek",2014,"July",35.6129032258064
"469","BadgerysCreek",2014,"June",35.9955018165211
"470","BadgerysCreek",2014,"March",31.0967741935484
"471","BadgerysCreek",2014,"May",23.4193548387097
"472","BadgerysCreek",2014,"November",40
"473","BadgerysCreek",2014,"October",37.1645988867348
"474","BadgerysCreek",2014,"September",35.0666666666667
"475","BadgerysCreek",2015,"April",35.4333333333333
"476","BadgerysCreek",2015,"August",33.9875789884358
"477","BadgerysCreek",2015,"December",34.2258064516129
"478","BadgerysCreek",2015,"February",29.6785714285714
"479","BadgerysCreek",2015,"January",35.8583849024088
"480","BadgerysCreek",2015,"July",31.2903225806452
"481","BadgerysCreek",2015,"June",21.7
"482","BadgerysCreek",2015,"March",33.4193548387097
"483","BadgerysCreek",2015,"May",30.0967741935484
"484","BadgerysCreek",2015,"November",37.3402333516007
"485","BadgerysCreek",2015,"October",31.5986206100412
"486","BadgerysCreek",2015,"September",33.9886415141014
"487","BadgerysCreek",2016,"April",25.2666666666667
"488","BadgerysCreek",2016,"August",29.8387096774194
"489","BadgerysCreek",2016,"December",41.117619595941
"490","BadgerysCreek",2016,"February",31.8965517241379
"491","BadgerysCreek",2016,"January",37.404706073985
"492","BadgerysCreek",2016,"July",33.5161290322581
"493","BadgerysCreek",2016,"June",32.7333333333333
"494","BadgerysCreek",2016,"March",29.5161290322581
"495","BadgerysCreek",2016,"May",31.4838709677419
"496","BadgerysCreek",2016,"November",39.4751506977715
"497","BadgerysCreek",2016,"October",40.8064516129032
"498","BadgerysCreek",2016,"September",34.8158257660146
"499","BadgerysCreek",2017,"April",30.344455293597
"500","BadgerysCreek",2017,"February",35.1071428571429
"501","BadgerysCreek",2017,"January",36.9510383012614
"502","BadgerysCreek",2017,"June",25.6
"503","BadgerysCreek",2017,"March",33.8709677419355
"504","BadgerysCreek",2017,"May",25.5806451612903
"505","Ballarat",2008,"December",45.8709677419355
"506","Ballarat",2009,"April",43.5
"507","Ballarat",2009,"August",54.7096774193548
"508","Ballarat",2009,"December",44.2903225806452
"509","Ballarat",2009,"February",51.1430619284843
"510","Ballarat",2009,"January",48
"511","Ballarat",2009,"July",45.6774193548387
"512","Ballarat",2009,"June",38.4666666666667
"513","Ballarat",2009,"March",47.7408026333958
"514","Ballarat",2009,"May",38.4432427780703
"515","Ballarat",2009,"November",45.0666666666667
"516","Ballarat",2009,"October",44.9354838709677
"517","Ballarat",2009,"September",48.443093321907
"518","Ballarat",2010,"April",39.4666666666667
"519","Ballarat",2010,"August",50.9354838709677
"520","Ballarat",2010,"December",47.0968203180199
"521","Ballarat",2010,"February",51.8214285714286
"522","Ballarat",2010,"January",47.5161290322581
"523","Ballarat",2010,"July",35.6129032258064
"524","Ballarat",2010,"June",38.2333333333333
